@relation synapse.1.2
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max.cc. numeric
@attribute avg.cc. numeric
@attribute bugs numeric
@data
14,1,0,14,46,0,5,9,9,0.7307692,544,1,0,0,0.2857143,0,0,37.285713,8,3.2857144,0
4,1,0,2,13,0,1,2,3,0.44444445,64,0,1,0,0.5625,0,0,14.25,1,0.75,0
5,1,0,11,28,8,1,10,3,0.25,122,1,0,0,0.3125,0,0,23.2,6,1.8,0
8,2,0,2,9,2,1,2,6,0.52380955,52,0.6666667,1,0.73913044,0.375,0,0,5.125,1,0.75,0
26,1,0,17,31,245,13,4,24,0.9433333,193,0.6666667,1,0,0.19428572,0,0,5.9615383,4,1.3461539,0
3,2,0,11,31,3,0,11,3,2,225,0,0,0.75,0.5555556,0,0,74,13,4.6666665,0
4,2,0,9,27,4,0,9,3,0.6666667,150,1,0,0.6,0.6666667,0,0,36.25,11,3,1
7,1,1,10,37,13,1,9,5,0.75,227,1,0,0,0.375,0,0,31.142857,20,3.4285715,0
4,2,0,10,29,4,0,10,3,0.6666667,133,1,0,0.6,0.6666667,0,0,32,6,1.75,0
3,2,0,10,21,3,0,10,3,2,107,0,0,0.75,0.5555556,0,0,34.666668,11,4,0
9,1,0,11,45,22,0,11,6,0.75,351,1,0,0,0.4,0,0,37.77778,1,0.7777778,2
6,3,0,12,56,13,1,11,3,0.7,606,1,0,0.8484849,0.4,2,4,99.333336,15,5.5,1
25,1,0,32,86,174,11,21,22,0.8680556,740,1,2,0,0.33333334,0,0,28.12,11,2.48,3
15,2,0,15,42,27,6,9,12,0.72619045,326,0.8333333,1,0.2777778,0.4,1,1,20.333334,7,2.4666667,0
3,3,0,13,28,3,0,13,3,2,142,0,0,0.7777778,0.5555556,0,0,46.333332,9,3.3333333,0
23,1,0,18,70,143,2,17,22,0.8787879,537,0,0,0,0.18181819,0,0,21.956522,5,2.2173913,0
2,1,0,14,6,1,11,3,1,1.9777777,106,0,0,0,1,0,0,7,0,0,4
67,1,0,44,172,1931,9,37,60,0.95210165,1449,0.9677419,5,0,0.10909091,0,0,20.164179,49,1.9104477,3
11,1,0,16,45,11,3,13,10,0.6166667,250,1,3,0,0.31666666,0,0,21.181818,14,2.3636363,0
3,1,0,12,29,1,1,11,2,0.5,143,1,0,0,0.5,0,0,46.333332,12,4,0
4,4,0,7,16,4,0,7,3,1,48,1,0,0.96428573,0.5555556,1,6,10.75,1,0.5,1
6,1,0,5,17,5,2,3,3,0.7,76,0.75,1,0,0.3,0,0,11,2,0.8333333,0
4,3,0,5,9,4,0,5,3,0.6666667,30,1,0,0.6666667,0.6666667,0,0,6.25,1,0.5,0
1,1,0,5,1,0,3,2,1,2,1,0,0,0,1,0,0,0,1,1,0
6,1,0,12,22,3,2,10,5,0.4,194,1,0,0,0.6,0,0,31,9,3.3333333,0
1,1,0,1,1,0,1,0,1,2,1,0,0,0,1,0,0,0,1,1,0
2,3,0,5,18,1,2,3,1,2,106,0,0,0.962963,0.6666667,2,5,52,7,3.5,1
3,3,0,7,15,3,0,7,3,2,46,0,0,0.7777778,0.5555556,0,0,14.333333,3,1.3333334,0
2,2,0,10,8,1,1,10,1,2,38,0,0,0.85714287,0.75,1,2,18,3,1.5,0
2,2,0,11,14,1,1,11,1,2,63,0,0,0.85714287,0.75,1,2,30.5,4,2,0
6,1,0,10,21,3,2,8,5,1,232,1,0,0,0.6,0,0,37,10,4.5,0
5,1,0,22,45,8,2,20,3,0.25,165,1,0,0,0.3,0,0,31.8,15,3.4,2
1,1,0,1,1,0,1,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,10,1,0,9,1,1,2,1,0,0,0,1,0,0,0,1,1,0
5,1,0,7,26,0,5,3,5,0.25,288,1,0,0,0.6,0,0,56.2,9,4.2,0
3,3,0,13,17,1,1,12,2,2,82,0,0,0.8181818,0.5555556,2,7,26.333334,3,1.6666666,0
1,1,0,2,1,0,2,0,1,2,1,0,0,0,1,0,0,0,1,1,0
3,1,0,2,4,0,2,0,3,0,20,1,0,0,1,0,0,5.3333335,1,0.6666667,0
2,2,7,14,15,1,7,7,1,2,46,0,0,0.75,0.5,0,0,22,3,1.5,0
5,1,0,23,23,8,14,9,2,0.5,77,1,0,0,0.4375,0,0,14.2,2,1,0
3,2,0,11,32,3,0,11,3,1.5,232,1,0,0.75,0.5555556,0,0,75.333336,16,5.6666665,2
5,1,0,13,26,0,7,6,4,0.5,151,1,0,0,0.5833333,0,0,28.8,5,1.4,2
17,1,0,23,77,34,4,19,15,0.84821427,673,0.71428573,6,0,0.2421875,0,0,37.764706,30,3.4117646,0
11,1,0,5,59,25,1,4,2,1.0756098,1312,0.9756098,0,0,0.27142859,0,0,114.545456,10,4.181818,1
3,1,0,13,18,1,2,11,2,0.5,90,1,0,0,0.5,0,0,28,7,2.3333333,0
6,1,0,17,32,11,1,16,2,1.0444444,242,0.7777778,1,0,0.33333334,0,0,37.833332,13,2.8333333,1
4,2,0,8,25,2,0,8,3,0.6666667,218,1,0,0.6,0.6666667,0,0,51.5,14,3.75,0
5,3,0,7,18,8,1,6,2,0.75,80,1,1,0.8125,0.5,2,5,14.8,3,1.2,1
7,1,0,1,8,0,1,0,7,0.7222222,113,1,0,0,0.42857143,0,0,14.285714,7,1.7142857,0
16,3,0,34,52,60,24,12,16,0.82857144,428,1,0,0.5945946,0.25,1,4,25.3125,29,2.8125,2
2,2,2,16,30,1,2,14,1,2,373,0,0,0.85714287,0.6666667,0,0,185.5,25,12.5,0
5,1,0,12,10,0,3,9,4,0.5833333,46,1,2,0,0.25,0,0,7.6,1,0.6,0
4,3,0,5,9,4,0,5,3,0.6666667,30,1,0,0.6666667,0.6666667,0,0,6.25,1,0.5,0
3,3,0,8,14,3,0,8,3,2,45,0,0,0.7777778,0.5555556,0,0,14,3,1.3333334,0
4,1,0,13,22,2,1,12,2,0.5833333,126,1,0,0,0.33333334,0,0,29.5,6,1.75,0
16,2,1,17,66,58,3,14,14,0.8,918,1,0,0.4642857,0.33333334,0,0,56,16,2.6875,1
5,1,0,14,67,0,1,13,2,0.25,695,1,0,0,0.3125,0,0,137.8,50,10.4,0
7,1,4,20,32,9,17,4,5,0.5,220,1,0,0,0.33333334,0,0,30.142857,7,2.5714285,0
13,1,0,14,45,10,2,12,8,0.5833333,382,1,1,0,0.1904762,0,0,28,4,1.4615384,0
2,1,0,6,6,1,2,4,1,2,21,0,0,0,0.5,0,0,9.5,2,1,0
0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3,3,0,7,15,3,0,7,3,2,46,0,0,0.7777778,0.5555556,0,0,14.333333,3,1.3333334,0
3,1,0,4,3,3,2,2,3,2,3,0,0,0,0.6666667,0,0,0,1,1,0
4,2,0,10,31,6,0,10,3,2,456,0,0,0.6666667,0.4,0,0,113,18,5.75,0
17,2,0,17,62,88,2,16,16,0.8888889,329,0.8888889,0,0.11764706,0.20535715,0,0,17.82353,12,1.5882353,0
4,2,0,14,29,6,0,14,3,1,156,1,0,0.75,0.5555556,0,0,37.75,10,2.75,0
10,2,7,14,35,0,7,7,10,0,176,1,0,0.59090906,0.28333333,0,0,16.5,3,1.5,2
3,3,0,2,7,1,1,1,3,2,43,0,0,0.88235295,0.7777778,2,2,13.333333,2,1.3333334,0
7,1,0,7,42,9,3,4,4,0.33333334,558,1,0,0,0.3,0,0,78.57143,12,3.2857144,1
8,3,0,3,42,8,0,3,3,0.78571427,202,1,0,0.8064516,0.35714287,3,4,24,1,0.75,1
6,1,0,10,13,15,0,10,6,2,35,0,0,0,0.3611111,0,0,4.8333335,1,0.8333333,0
28,2,0,31,106,216,2,29,20,0.8774929,828,0.6923077,3,0.325,0.20357142,0,0,28.107143,17,3.2142856,3
1,1,0,0,2,0,0,0,1,2,7,0,0,0,1,0,0,3,0,0,0
6,1,0,4,26,9,1,4,3,0.9,171,1,0,0,0.2,0,0,27.166666,1,0.6666667,2
3,3,0,11,27,3,0,11,3,2,145,0,0,0.7777778,0.5555556,0,0,47.333332,10,3.6666667,0
5,3,0,12,19,6,4,8,4,0.75,159,1,0,0.5714286,0.75,0,0,30.6,9,3.2,0
3,1,0,11,3,3,10,1,3,2,3,0,0,0,0.6666667,0,0,0,1,1,0
22,1,0,2,22,231,2,0,22,2,22,0,0,0,0.20454545,0,0,0,1,1,0
2,2,0,8,14,1,0,8,2,2,46,0,0,0.875,0.75,0,0,22,1,0.5,0
14,1,0,15,26,29,8,7,14,0.7692308,159,1,2,0,0.3,0,0,9.928572,9,1.5,0
8,1,0,7,18,8,3,4,7,0.71428573,79,1,1,0,0.31428573,0,0,8.5,3,1.125,1
7,1,0,9,51,5,1,9,4,0.7083333,334,0.75,0,0,0.41666666,0,0,46.142857,23,3.857143,0
8,1,18,34,36,22,18,16,0,0.7714286,181,1,0,0,0.3469388,0,0,21,5,1.75,0
4,2,0,11,29,2,0,11,3,0.6666667,191,1,0,0.6,0.6666667,0,0,46.25,14,3.75,0
2,3,0,8,4,1,6,2,2,2,9,0,0,0.95652175,0.75,0,0,3.5,1,0.5,0
4,3,0,5,9,4,0,5,3,0.6666667,31,1,0,0.8181818,0.6666667,0,0,6.5,1,0.5,0
8,1,0,4,8,28,4,0,8,2,8,0,0,0,1,0,0,0,1,1,0
4,3,0,5,9,4,0,5,3,0.6666667,30,1,0,0.6666667,0.6666667,0,0,6.25,1,0.5,0
2,2,0,16,21,1,1,16,1,2,145,0,0,0.85714287,0.75,1,3,71.5,8,4,1
27,3,0,11,90,349,1,11,26,1.0307692,845,1,0,0.61904764,0.16483517,1,2,29.74074,11,1.6296296,0
3,1,0,9,13,0,1,8,3,0,113,1,1,0,0.53333336,0,0,35.666668,1,0.33333334,0
4,2,0,4,8,4,0,4,3,0.6666667,27,1,0,0.6,0.6666667,0,0,5.5,1,0.5,0
2,2,0,13,16,1,1,13,1,2,88,0,0,0.85714287,0.75,1,2,43,6,3,1
3,2,0,10,25,3,0,10,3,2,139,0,0,0.75,0.5555556,0,0,45.333332,10,3.6666667,0
7,1,0,9,22,5,0,9,7,0.7,114,1,1,0,0.39285713,0,0,14.571428,5,1.4285715,0
3,3,0,7,16,3,2,5,3,2,70,0,0,0.9166667,0.8333333,1,2,22.333334,8,3,1
12,2,0,15,28,54,1,14,12,0.59090906,117,1,1,0.47619048,0.21875,1,3,8.583333,1,0.9166667,0
6,2,0,10,20,0,4,7,4,0.53333336,106,1,1,0.5555556,0.4,1,2,16.166666,2,0.8333333,0
12,2,0,16,51,10,2,14,10,0.8181818,435,0.6666667,1,0.5416667,0.23809524,0,0,34.75,27,3.5833333,1
1,1,0,0,2,0,0,0,1,2,10,0,0,0,1,0,0,3,0,0,0
3,1,0,3,7,3,1,2,1,2,28,0,0,0,0.5555556,0,0,8.333333,3,1,0
15,1,0,28,84,99,0,28,6,0.35714287,507,1,0,0,0.31428573,0,0,32.733334,19,2.6,2
4,1,0,5,10,0,3,3,3,0.75,178,0,2,0,0.4375,0,0,42.5,1,0.75,0
3,2,0,13,27,3,0,13,3,2,128,0,0,0.75,0.5555556,0,0,41.666668,8,3,0
9,1,0,2,12,22,1,1,9,0.8125,75,1,2,0,0.2888889,0,0,6.888889,4,1.2222222,0
15,2,1,14,53,61,3,11,11,0.8,307,1,2,0.2777778,0.33333334,1,1,19.133333,18,2.6,0
2,1,0,6,8,1,2,4,2,2,33,0,0,0,0.5,0,0,15.5,3,1.5,3
4,2,0,11,23,4,1,11,1,0.6666667,117,1,1,0.8181818,0.44444445,1,2,28,6,1.75,1
12,1,0,10,12,66,7,3,12,2,12,0,0,0,0.2857143,0,0,0,1,1,0
3,2,0,7,13,3,0,7,3,2,41,0,0,0.75,0.5555556,0,0,12.666667,3,1.3333334,0
4,1,0,4,31,0,4,0,2,0.5,179,1,0,0,0.33333334,0,0,42.75,4,2,0
8,2,0,21,64,0,1,21,4,0.53571427,570,1,1,0.33333334,0.4047619,1,2,69.75,4,1.625,0
4,2,0,8,29,4,0,8,3,0.6666667,141,1,0,0.6,0.6666667,0,0,34,6,1.75,0
25,2,0,26,87,168,2,24,22,0.8541667,753,1,1,0.35135135,0.188,0,0,28.64,16,1.6,2
6,2,0,1,14,7,1,1,5,0.3,146,0.5,1,0.5,0.45833334,1,1,23,1,0.8333333,0
7,1,0,48,7,21,48,1,7,2,7,0,0,0,0.42857143,0,0,0,1,1,1
4,1,0,7,4,6,6,1,4,2,4,0,0,0,0.7,0,0,0,1,1,0
8,2,2,12,60,12,4,9,1,0.75,709,0,0,0.33333334,0.6785714,0,0,86.125,23,5,2
2,2,0,11,16,1,5,6,2,2,50,0,0,0.9285714,0.75,0,0,24,5,2.5,1
2,2,0,3,12,1,1,3,1,2,29,0,0,0.9791667,1,0,0,13.5,1,0.5,0
22,2,0,25,64,135,2,23,20,0.86580086,544,0.8181818,2,0.3939394,0.30476192,0,0,23.227272,22,1.9545455,1
2,1,0,5,2,1,3,2,2,2,2,0,0,0,0.75,0,0,0,1,1,0
10,2,0,1,13,19,1,1,9,0.5777778,222,0.8,1,0.5,0.32,1,2,20.7,1,0.9,0
50,1,0,46,108,697,27,20,48,0.87198514,976,0.90909094,2,0,0.13500784,0,0,18.3,8,2.1,4
4,2,0,9,36,2,0,9,3,0.8666667,371,1,0,0.6,0.6666667,0,0,89.25,23,6,2
6,2,0,31,72,5,1,31,4,1,343,0,1,0.7368421,0.2777778,1,3,56,1,0.8333333,0
10,2,0,15,39,0,2,13,9,0.5,210,1,0,0.59090906,0.24285714,0,0,19.8,9,1.9,1
3,1,1,2,4,0,1,1,3,0,17,1,0,0,0.6666667,0,0,4.3333335,1,0.6666667,0
1,1,0,1,1,0,1,0,1,2,1,0,0,0,1,0,0,0,1,1,0
3,3,0,2,8,3,1,1,3,1.5,60,0,0,1,0.5555556,0,0,15,0,0,0
1,1,0,4,1,0,2,2,1,2,1,0,0,0,1,0,0,0,1,1,0
0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3,2,0,9,15,3,0,9,3,2,50,0,0,0.75,0.5555556,0,0,15.666667,4,1.6666666,0
4,2,0,14,30,2,0,14,3,0.6666667,161,1,0,0.6,0.6666667,0,0,38,8,2.25,0
6,1,0,3,15,0,1,2,6,0.5,60,1,1,0,0.45833334,0,0,8.666667,1,0.6666667,0
4,1,0,24,17,0,15,9,2,0.33333334,59,1,0,0,0.33333334,0,0,13.5,1,0.5,0
2,1,0,11,2,1,8,3,2,2,2,0,0,0,0.8333333,0,0,0,1,1,1
2,1,0,8,2,1,6,2,2,2,2,0,0,0,0.6666667,0,0,0,1,1,0
4,1,0,11,23,2,1,10,2,0.5833333,101,1,0,0,0.33333334,0,0,23.25,4,1.25,0
2,3,0,6,5,1,2,4,2,2,14,0,0,0.8,0.5,0,0,6,1,0.5,0
4,2,0,10,22,4,0,10,3,0.6666667,174,1,0,0.6,0.6666667,0,0,42,15,4,0
10,1,0,7,11,35,4,3,10,0.8518519,46,0.6666667,1,0,0.26666668,0,0,3.3,1,0.9,0
3,2,0,12,24,3,0,12,3,2,94,0,0,0.75,0.5555556,0,0,30.333334,8,3,0
9,1,0,38,102,30,1,37,3,0.625,620,1,0,0,0.19642857,0,0,67.77778,6,2.2222223,9
7,1,0,5,11,13,2,3,7,0.76666665,68,1,2,0,0.4,0,0,8,3,1,2
2,3,0,5,30,1,3,3,1,2,183,0,0,0.962963,0.6666667,2,5,90.5,9,4.5,1
4,2,0,18,38,0,2,16,4,0,268,1,1,0.8125,0.5,0,0,65.75,27,7.25,2
20,2,0,14,71,90,3,12,18,0.83732057,677,1,3,0.41935483,0.19078948,0,0,32.3,34,3.1,2
2,1,0,6,7,0,1,5,2,0,36,1,1,0,0.625,0,0,16,1,0.5,0
5,2,0,10,35,6,0,10,3,1.0277778,435,1,0,0.5,0.5,0,0,84.2,30,7.4,0
8,1,0,27,64,20,0,27,6,0.78571427,313,1,1,0,0.33333334,0,0,37.875,2,0.875,1
4,2,0,2,17,6,1,1,4,2,47,0,0,0.9444444,0.625,1,2,10.75,1,0.75,0
1,1,0,0,2,0,0,0,1,2,4,0,0,0,1,0,0,3,0,0,0
5,2,0,11,38,8,1,11,1,0.75,220,1,1,0.75,0.4375,2,4,42.8,12,2.8,0
11,1,6,23,65,49,11,18,3,0.4,566,1,0,0,0.2625,0,0,50.363636,35,4.909091,0
6,1,0,34,105,0,2,32,3,0.5,620,1,0,0,0.37142858,0,0,102,7,1.8333334,1
5,3,0,20,51,0,4,16,5,0,319,1,1,0.8181818,0.6666667,2,3,62.6,23,6.4,1
14,1,0,3,15,0,3,0,14,0.72307694,126,0.6,0,0,0.44642857,0,0,7.642857,4,1.4285715,0
4,1,0,19,69,2,1,18,2,0.5833333,598,1,0,0,0.33333334,0,0,147.5,40,10.25,0
2,2,0,2,4,1,1,1,2,2,10,0,0,0.9230769,0.75,0,0,4,1,0.5,0
4,2,0,13,27,2,0,13,3,0.6666667,167,1,0,0.6,0.6666667,0,0,40,5,1.5,0
5,1,0,22,66,4,2,20,4,0.25,493,1,0,0,0.41666666,0,0,96.8,1,0.6,1
10,1,0,11,33,0,4,7,6,0.74603176,248,1,0,0,0.3148148,0,0,23.1,6,2.4,1
4,1,0,7,16,4,1,6,2,0.33333334,76,1,0,0,0.33333334,0,0,17.75,5,1.5,1
6,1,0,7,28,5,1,6,2,0.55,163,0.25,0,0,0.3,0,0,25.5,4,1.3333334,0
4,2,0,4,10,4,1,4,1,0.6666667,43,1,1,0.8181818,0.44444445,1,1,9.5,2,0.75,0
4,1,0,7,7,4,1,6,2,0.6666667,30,1,1,0,0.5,0,0,6.25,2,0.75,0
7,1,0,13,50,0,1,12,5,0.625,488,0.75,1,0,0.27083334,0,0,68.14286,39,6.428571,2
3,3,0,5,12,3,1,4,3,2,33,0,0,0.7777778,0.5555556,0,0,10,2,1,0
8,2,0,8,32,0,2,6,8,0.5714286,219,1,2,0.65,0.375,0,0,26,15,2.625,2
1,1,0,0,2,0,0,0,1,2,6,0,0,0,1,0,0,3,0,0,0
9,1,0,1,13,10,1,1,3,0.8333333,106,0.8333333,1,0,0.25396827,1,1,10.111111,7,1.6666666,0
6,1,0,11,22,3,2,9,5,0.4,202,1,0,0,0.6,0,0,32.333332,8,3.3333333,0
5,1,0,12,19,10,3,9,4,1,143,1,0,0,0.5833333,0,0,27.4,1,0.6,0
5,1,19,26,18,10,19,7,0,1,154,1,0,0,0.45,0,0,26.8,5,1.4,0
3,3,0,7,15,3,0,7,3,2,46,0,0,0.7777778,0.5555556,0,0,14.333333,3,1.3333334,0
3,3,0,8,14,3,0,8,3,2,45,0,0,0.7777778,0.5555556,0,0,14,3,1.3333334,0
4,3,0,11,29,2,0,11,3,0.6666667,212,1,0,0.6666667,0.6666667,0,0,51.25,15,4,0
43,1,0,18,44,781,18,0,43,0.95351475,274,1,0,0,0.29767442,0,0,4.883721,1,0.9767442,0
4,2,1,13,21,0,1,12,2,2,178,0,0,0.6666667,0.5,2,3,43.5,9,3.25,0
5,1,0,7,18,0,1,6,3,0.5,153,1,2,0,0.5,0,0,28.8,4,1.6,0
5,2,0,9,42,4,0,9,3,0.8035714,384,1,0,0.5,0.5,0,0,73,28,6.8,0
2,2,0,6,9,1,0,6,2,2,20,0,0,0.875,0.75,0,0,9,1,0.5,0
61,1,0,46,136,378,25,21,61,0.88166666,776,1,2,0,0.11124122,0,0,11.557377,11,1.5409836,1
51,1,0,4,71,1025,1,3,47,0.86,481,1,0,0,0.23666666,0,0,8.274509,3,1.2156863,0
3,2,0,8,24,3,0,8,3,2,114,0,0,0.75,0.5555556,0,0,37,7,2.6666667,0
6,1,0,13,6,15,12,1,6,2,6,0,0,0,0.45833334,0,0,0,1,1,0
20,2,0,31,107,104,3,29,14,0.872807,844,0.8333333,1,0.40625,0.185,0,0,40.6,39,3.5,6
5,1,0,12,31,0,0,12,2,1,132,0.25,0,0,0.5,0,0,24.6,1,0.6,0
4,3,0,9,13,6,0,9,4,2,35,0,0,0.8,0.5833333,2,2,7.75,1,0.75,0
4,2,0,6,11,2,0,6,3,0.6666667,49,1,0,0.6,0.6666667,0,0,10.75,3,1,0
4,1,0,9,14,0,3,6,3,0.5,89,1,0,0,0.5833333,0,0,20.75,5,1.75,3
12,1,0,12,37,2,5,7,8,0.77272725,319,1,0,0,0.25974026,0,0,24.75,7,2.5833333,1
15,1,0,18,52,37,3,15,14,0.75,271,1,4,0,0.25510204,0,0,16.533333,13,2.0666666,1
9,1,0,10,30,6,7,5,5,0.671875,235,0.125,0,0,0.34375,0,0,24.222221,3,1.1111112,1
3,3,0,7,16,3,2,5,3,2,74,0,0,0.9166667,0.8333333,1,2,23.666666,8,3.3333333,1
7,1,0,9,28,0,3,6,3,0.5416667,265,1,1,0,0.33333334,0,0,36.285713,3,1.1428572,2
1,1,0,2,1,0,2,0,1,2,1,0,0,0,1,0,0,0,1,1,0
52,1,0,78,52,1326,72,10,52,2,52,0,0,0,0.12660256,0,0,0,1,1,0
9,1,0,24,45,32,0,24,3,0.875,235,1,0,0,0.27083334,0,0,24.666666,7,1.8888888,1
6,2,1,7,28,13,2,6,2,0.8,139,1,1,0.6923077,0.45,2,3,22,6,1.8333334,1
8,1,6,28,44,26,10,23,3,0.9285714,342,1,0,0,0.37142858,0,0,41.5,19,3.75,1
6,3,0,71,45,13,50,21,3,0.9,219,1,0,0.87096775,0.36666667,2,5,35.166668,8,2.1666667,1
15,1,18,23,33,7,18,5,5,0.47619048,229,1,0,0,0.3809524,0,0,14.066667,4,2.3333333,4
14,2,2,19,71,47,8,13,11,0.6666667,442,0.6666667,0,0.5,0.25510204,0,0,30.357143,7,1.5,2
3,2,0,11,25,3,0,11,3,2,156,0,0,0.75,0.5555556,0,0,51,12,4.3333335,0
5,1,1,21,47,0,2,19,2,0.25,242,1,0,0,0.5,0,0,47,4,1.6,0
8,2,0,10,29,0,2,8,8,0.5,167,1,1,0.65,0.27083334,0,0,19.625,6,2.125,1
8,1,0,33,105,28,5,28,7,2,455,0,0,0,0.2,0,0,55.875,6,2.875,3
3,2,0,10,21,3,0,10,3,2,110,0,0,0.75,0.5555556,0,0,35.666668,9,3.3333333,0
6,1,0,11,37,3,1,10,3,0.4,214,1,0,0,0.26666668,0,0,34.5,8,1.8333334,1
16,2,0,13,60,34,4,9,9,0.8666667,483,0.375,0,0.4642857,0.25892857,0,0,28.6875,8,2.4375,1
7,1,0,8,43,15,1,7,2,0.16666667,245,1,0,0,0.4,0,0,33.857143,12,2.2857144,1
15,2,0,12,73,67,0,12,11,0.7619048,609,1,0,0.2777778,0.2767857,2,3,39.4,9,2.4,0
17,2,0,14,58,100,2,12,11,0.90625,444,1,2,0.4642857,0.3,0,0,24.647058,12,2.0588236,2
3,2,0,12,31,3,0,12,3,2,144,0,0,0.75,0.5555556,0,0,47,11,4,1
4,3,0,9,29,2,0,9,3,0.6666667,218,1,0,0.6666667,0.6666667,0,0,52.75,16,4.25,0
14,1,0,30,69,51,1,29,12,0.82051283,511,1,2,0,0.1923077,0,0,35.07143,17,2.5,1
2,2,7,12,14,1,7,5,1,2,40,0,0,0.85714287,0.6666667,0,0,19,3,1.5,0
1,1,0,1,1,0,1,0,1,2,1,0,0,0,1,0,0,0,1,1,0
3,1,0,4,3,3,2,2,3,2,3,0,0,0,0.6666667,0,0,0,1,1,0
5,2,0,7,33,2,1,6,2,0.55,207,1,0,0.5,0.625,0,0,39.4,5,1.6,0
11,3,0,18,71,1,3,16,9,0.8142857,542,0.85714287,1,0.6875,0.3030303,1,3,47.636364,16,2.7272727,1
7,1,0,8,17,9,3,5,5,0.5,151,1,0,0,0.56666666,0,0,19.571428,5,1.8571428,0
2,3,0,10,23,1,2,8,2,2,114,0,0,0.95652175,0.75,1,2,56,11,5.5,1
6,1,0,6,22,0,4,3,5,0,154,1,0,0,0.5,0,0,24.5,7,3,0
4,2,0,4,13,4,1,4,1,0.6666667,51,1,1,0.8181818,0.44444445,1,1,11.5,3,1,0
10,1,0,8,20,9,7,1,10,0.6666667,148,1,0,0,0.475,0,0,13.5,2,1.2,0
17,3,0,11,39,52,2,9,17,0.79464287,535,1,3,0.57894737,0.2184874,1,3,30.058823,21,2.5294118,1
11,1,0,11,38,0,2,9,7,0.56,336,1,1,0,0.28,0,0,29.09091,3,1.3636364,0
15,1,0,23,75,49,10,13,10,0.2857143,940,1,0,0,0.15476191,0,0,61.6,12,3.4666667,2
9,1,0,10,12,26,8,2,8,0.9285714,70,0.42857143,1,0,0.375,0,0,6,1,0.7777778,0
4,2,0,10,28,2,0,10,3,0.6666667,260,1,0,0.6,0.6666667,0,0,62.75,19,5,0
3,2,0,8,19,3,0,8,3,2,88,0,0,0.75,0.5555556,0,0,28.333334,8,3,0
4,2,0,7,19,2,0,7,3,0.6666667,66,1,0,0.6,0.6666667,0,0,14.75,3,1,0
3,4,0,83,6,3,83,0,3,1.5,17,1,0,1,0.7777778,0,0,4.3333335,0,0,1
4,2,0,6,16,2,0,6,3,1.0476191,97,1,0,0.6,0.6666667,0,0,21.5,7,2,0
